Model,L,Iter,Success
gpt-5.4-mini,50,30,0
gpt-5.4,100,1,1
gpt-5.4-mini,100,1,1
gpt-5.4,100,2,1
gpt-5.4-mini,100,2,1
gpt-5.4,100,3,1
gpt-5.4-mini,100,3,0
gpt-5.4,100,4,1
gpt-5.4-mini,100,4,0
gpt-5.4,100,5,1
gpt-5.4-mini,100,5,1
gpt-5.4,100,6,1
gpt-5.4-mini,100,6,1
gpt-5.4,100,7,1
gpt-5.4-mini,100,7,1
gpt-5.4,100,8,1
gpt-5.4-mini,100,8,1
gpt-5.4,100,9,1
gpt-5.4-mini,100,9,1
gpt-5.4,100,10,1
gpt-5.4-mini,100,10,1
gpt-5.4,100,11,1
gpt-5.4-mini,100,11,0
gpt-5.4,100,12,1
gpt-5.4-mini,100,12,1
gpt-5.4,100,13,1
gpt-5.4-mini,100,13,0
gpt-5.4,100,14,1
gpt-5.4-mini,100,14,1
gpt-5.4,100,15,1
gpt-5.4-mini,100,15,0
gpt-5.4,100,16,0
gpt-5.4-mini,100,16,0
gpt-5.4,100,17,1
gpt-5.4-mini,100,17,0
gpt-5.4,100,18,1
gpt-5.4-mini,100,18,1
gpt-5.4,100,19,1
gpt-5.4-mini,100,19,1
gpt-5.4,100,20,1
gpt-5.4-mini,100,20,1
gpt-5.4,100,21,1
gpt-5.4-mini,100,21,1
gpt-5.4,100,22,1
gpt-5.4-mini,100,22,1
gpt-5.4,100,23,1
gpt-5.4-mini,100,23,1
gpt-5.4,100,24,1
gpt-5.4-mini,100,24,0
gpt-5.4,100,25,1
gpt-5.4-mini,100,25,0
gpt-5.4,100,26,1
gpt-5.4-mini,100,26,0
gpt-5.4,100,27,1
gpt-5.4-mini,100,27,0
gpt-5.4,100,28,1
gpt-5.4-mini,100,28,1
gpt-5.4,100,29,1
gpt-5.4-mini,100,29,0
gpt-5.4,100,30,1
gpt-5.4-mini,100,30,1
