Model,L,Iter,Success
gpt-4.1,10,1,1
gpt-4.1-mini,10,1,1
gpt-4.1,10,2,1
gpt-4.1-mini,10,2,1
gpt-4.1,10,3,1
gpt-4.1-mini,10,3,1
gpt-4.1,10,4,1
gpt-4.1-mini,10,4,1
gpt-4.1,10,5,1
gpt-4.1-mini,10,5,1
gpt-4.1,10,6,1
gpt-4.1-mini,10,6,1
gpt-4.1,10,7,1
gpt-4.1-mini,10,7,1
gpt-4.1,10,8,1
gpt-4.1-mini,10,8,1
gpt-4.1,10,9,1
gpt-4.1-mini,10,9,1
gpt-4.1,10,10,1
gpt-4.1-mini,10,10,1
gpt-4.1,10,11,1
gpt-4.1-mini,10,11,1
gpt-4.1,10,12,1
gpt-4.1-mini,10,12,1
gpt-4.1,10,13,1
gpt-4.1-mini,10,13,1
gpt-4.1,10,14,1
gpt-4.1-mini,10,14,1
gpt-4.1,10,15,1
gpt-4.1-mini,10,15,1
gpt-4.1,10,16,1
gpt-4.1-mini,10,16,1
gpt-4.1,10,17,1
gpt-4.1-mini,10,17,1
gpt-4.1,10,18,1
gpt-4.1-mini,10,18,1
gpt-4.1,10,19,1
gpt-4.1-mini,10,19,1
gpt-4.1,10,20,1
gpt-4.1-mini,10,20,1
gpt-4.1,10,21,1
gpt-4.1-mini,10,21,1
gpt-4.1,10,22,1
gpt-4.1-mini,10,22,1
gpt-4.1,10,23,1
gpt-4.1-mini,10,23,1
gpt-4.1,10,24,1
gpt-4.1-mini,10,24,1
gpt-4.1,10,25,1
gpt-4.1-mini,10,25,1
gpt-4.1,10,26,1
gpt-4.1-mini,10,26,1
gpt-4.1,10,27,1
gpt-4.1-mini,10,27,1
gpt-4.1,10,28,1
gpt-4.1-mini,10,28,1
gpt-4.1,10,29,1
gpt-4.1-mini,10,29,1
gpt-4.1,10,30,1
gpt-4.1-mini,10,30,1
gpt-4.1,20,1,1
gpt-4.1-mini,20,1,1
gpt-4.1,20,2,1
gpt-4.1-mini,20,2,1
gpt-4.1,20,3,1
gpt-4.1-mini,20,3,1
gpt-4.1,20,4,1
gpt-4.1-mini,20,4,1
gpt-4.1,20,5,1
gpt-4.1-mini,20,5,1
gpt-4.1,20,6,1
gpt-4.1-mini,20,6,1
gpt-4.1,20,7,1
gpt-4.1-mini,20,7,1
gpt-4.1,20,8,1
gpt-4.1-mini,20,8,1
gpt-4.1,20,9,1
gpt-4.1-mini,20,9,1
gpt-4.1,20,10,1
gpt-4.1-mini,20,10,1
gpt-4.1,20,11,1
gpt-4.1-mini,20,11,1
gpt-4.1,20,12,1
gpt-4.1-mini,20,12,1
gpt-4.1,20,13,1
gpt-4.1-mini,20,13,1
gpt-4.1,20,14,1
gpt-4.1-mini,20,14,1
gpt-4.1,20,15,1
gpt-4.1-mini,20,15,1
gpt-4.1,20,16,1
gpt-4.1-mini,20,16,1
gpt-4.1,20,17,1
gpt-4.1-mini,20,17,1
gpt-4.1,20,18,1
gpt-4.1-mini,20,18,1
gpt-4.1,20,19,1
gpt-4.1-mini,20,19,1
gpt-4.1,20,20,1
gpt-4.1-mini,20,20,1
gpt-4.1,20,21,1
gpt-4.1-mini,20,21,1
gpt-4.1,20,22,1
gpt-4.1-mini,20,22,1
gpt-4.1,20,23,1
gpt-4.1-mini,20,23,1
gpt-4.1,20,24,1
gpt-4.1-mini,20,24,1
gpt-4.1,20,25,1
gpt-4.1-mini,20,25,1
gpt-4.1,20,26,1
gpt-4.1-mini,20,26,1
gpt-4.1,20,27,1
gpt-4.1-mini,20,27,1
gpt-4.1,20,28,1
gpt-4.1-mini,20,28,1
gpt-4.1,20,29,1
gpt-4.1-mini,20,29,1
gpt-4.1,20,30,1
gpt-4.1-mini,20,30,1
gpt-4.1,50,1,1
gpt-4.1-mini,50,1,1
gpt-4.1,50,2,1
gpt-4.1-mini,50,2,1
gpt-4.1,50,3,1
gpt-4.1-mini,50,3,1
gpt-4.1,50,4,1
gpt-4.1-mini,50,4,1
gpt-4.1,50,5,1
gpt-4.1-mini,50,5,1
gpt-4.1,50,6,1
gpt-4.1-mini,50,6,1
gpt-4.1,50,7,1
gpt-4.1-mini,50,7,1
gpt-4.1,50,8,1
gpt-4.1-mini,50,8,1
gpt-4.1,50,9,1
gpt-4.1-mini,50,9,1
gpt-4.1,50,10,1
gpt-4.1-mini,50,10,1
gpt-4.1,50,11,1
gpt-4.1-mini,50,11,1
gpt-4.1,50,12,0
gpt-4.1-mini,50,12,1
gpt-4.1,50,13,1
gpt-4.1-mini,50,13,1
gpt-4.1,50,14,1
gpt-4.1-mini,50,14,1
gpt-4.1,50,15,0
gpt-4.1-mini,50,15,1
gpt-4.1,50,16,1
gpt-4.1-mini,50,16,1
gpt-4.1,50,17,1
gpt-4.1-mini,50,17,1
gpt-4.1,50,18,1
gpt-4.1-mini,50,18,1
gpt-4.1,50,19,1
gpt-4.1-mini,50,19,1
gpt-4.1,50,20,1
gpt-4.1-mini,50,20,1
gpt-4.1,50,21,1
gpt-4.1-mini,50,21,1
gpt-4.1,50,22,1
gpt-4.1-mini,50,22,1
gpt-4.1,50,23,1
gpt-4.1-mini,50,23,1
gpt-4.1,50,24,1
gpt-4.1-mini,50,24,1
gpt-4.1,50,25,1
gpt-4.1-mini,50,25,1
gpt-4.1,50,26,1
gpt-4.1-mini,50,26,1
gpt-4.1,50,27,0
gpt-4.1-mini,50,27,1
gpt-4.1,50,28,1
gpt-4.1-mini,50,28,1
gpt-4.1,50,29,1
gpt-4.1-mini,50,29,1
gpt-4.1,50,30,1
gpt-4.1-mini,50,30,1
gpt-4.1,100,1,1
gpt-4.1-mini,100,1,1
gpt-4.1,100,2,1
gpt-4.1-mini,100,2,1
gpt-4.1,100,3,1
gpt-4.1-mini,100,3,1
gpt-4.1,100,4,0
gpt-4.1-mini,100,4,1
gpt-4.1,100,5,0
gpt-4.1-mini,100,5,1
gpt-4.1,100,6,1
gpt-4.1-mini,100,6,1
gpt-4.1,100,7,1
gpt-4.1-mini,100,7,1
gpt-4.1,100,8,1
gpt-4.1-mini,100,8,1
gpt-4.1,100,9,1
gpt-4.1-mini,100,9,1
gpt-4.1,100,10,1
gpt-4.1-mini,100,10,1
gpt-4.1,100,11,0
gpt-4.1-mini,100,11,1
gpt-4.1,100,12,0
gpt-4.1-mini,100,12,1
gpt-4.1,100,13,0
gpt-4.1-mini,100,13,1
gpt-4.1,100,14,1
gpt-4.1-mini,100,14,1
gpt-4.1,100,15,1
gpt-4.1-mini,100,15,1
gpt-4.1,100,16,0
gpt-4.1-mini,100,16,1
gpt-4.1,100,17,1
gpt-4.1-mini,100,17,1
gpt-4.1,100,18,0
gpt-4.1-mini,100,18,1
gpt-4.1,100,19,0
gpt-4.1-mini,100,19,1
gpt-4.1,100,20,1
gpt-4.1-mini,100,20,1
gpt-4.1,100,21,1
gpt-4.1-mini,100,21,1
gpt-4.1,100,22,0
gpt-4.1-mini,100,22,1
gpt-4.1,100,23,0
gpt-4.1-mini,100,23,1
gpt-4.1,100,24,1
gpt-4.1-mini,100,24,1
gpt-4.1,100,25,1
gpt-4.1-mini,100,25,1
gpt-4.1,100,26,0
gpt-4.1-mini,100,26,1
gpt-4.1,100,27,1
gpt-4.1-mini,100,27,1
gpt-4.1,100,28,0
gpt-4.1-mini,100,28,1
gpt-4.1,100,29,0
gpt-4.1-mini,100,29,1
gpt-4.1,100,30,1
gpt-4.1-mini,100,30,1
