Model,L,Iter,Success
qwen/qwen3-32b,20,19,1
llama-3.3-70b-versatile,20,20,1
llama-3.1-8b-instant,20,20,1
qwen/qwen3-32b,20,20,1
llama-3.3-70b-versatile,20,21,1
llama-3.1-8b-instant,20,21,1
qwen/qwen3-32b,20,21,1
llama-3.3-70b-versatile,20,22,1
llama-3.1-8b-instant,20,22,0
qwen/qwen3-32b,20,22,1
llama-3.3-70b-versatile,20,23,1
llama-3.1-8b-instant,20,23,1
qwen/qwen3-32b,20,23,0
llama-3.3-70b-versatile,20,24,1
llama-3.1-8b-instant,20,24,1
qwen/qwen3-32b,20,24,1
llama-3.3-70b-versatile,20,25,1
llama-3.1-8b-instant,20,25,0
qwen/qwen3-32b,20,25,1
llama-3.3-70b-versatile,20,26,1
llama-3.1-8b-instant,20,26,1
qwen/qwen3-32b,20,26,1
llama-3.3-70b-versatile,20,27,1
llama-3.1-8b-instant,20,27,1
qwen/qwen3-32b,20,27,1
llama-3.3-70b-versatile,20,28,1
llama-3.1-8b-instant,20,28,1
qwen/qwen3-32b,20,28,1
llama-3.3-70b-versatile,20,29,1
llama-3.1-8b-instant,20,29,1
qwen/qwen3-32b,20,29,1
llama-3.3-70b-versatile,20,30,1
llama-3.1-8b-instant,20,30,1
qwen/qwen3-32b,20,30,1
llama-3.3-70b-versatile,50,1,1
llama-3.1-8b-instant,50,1,0
qwen/qwen3-32b,50,1,0
llama-3.3-70b-versatile,50,2,1
llama-3.1-8b-instant,50,2,0
qwen/qwen3-32b,50,2,0
llama-3.3-70b-versatile,50,3,1
llama-3.1-8b-instant,50,3,0
qwen/qwen3-32b,50,3,0
llama-3.3-70b-versatile,50,4,1
llama-3.1-8b-instant,50,4,0
qwen/qwen3-32b,50,4,0
llama-3.3-70b-versatile,50,5,1
llama-3.1-8b-instant,50,5,0
qwen/qwen3-32b,50,5,0
llama-3.3-70b-versatile,50,6,1
llama-3.1-8b-instant,50,6,0
qwen/qwen3-32b,50,6,0
llama-3.3-70b-versatile,50,7,1
llama-3.1-8b-instant,50,7,0
qwen/qwen3-32b,50,7,0
llama-3.3-70b-versatile,50,8,1
llama-3.1-8b-instant,50,8,0
qwen/qwen3-32b,50,8,0
llama-3.3-70b-versatile,50,9,1
llama-3.1-8b-instant,50,9,0
qwen/qwen3-32b,50,9,0
llama-3.3-70b-versatile,50,10,1
llama-3.1-8b-instant,50,10,0
qwen/qwen3-32b,50,10,0
llama-3.3-70b-versatile,50,11,1
llama-3.1-8b-instant,50,11,0
qwen/qwen3-32b,50,11,0
