Model,L,Iter,Success
gemini-3.1-pro-preview,50,27,1
gemini-2.5-flash,50,27,0
gemini-3.1-pro-preview,50,28,1
gemini-2.5-flash,50,28,0
gemini-3.1-pro-preview,50,29,1
gemini-2.5-flash,50,29,0
gemini-3.1-pro-preview,50,30,1
gemini-2.5-flash,50,30,0
gemini-3.1-pro-preview,100,1,1
gemini-2.5-flash,100,1,0
gemini-3.1-pro-preview,100,2,1
gemini-2.5-flash,100,2,0
gemini-3.1-pro-preview,100,3,1
gemini-2.5-flash,100,3,0
gemini-3.1-pro-preview,100,4,1
gemini-2.5-flash,100,4,0
gemini-3.1-pro-preview,100,5,1
gemini-2.5-flash,100,5,0
gemini-3.1-pro-preview,100,6,1
gemini-2.5-flash,100,6,0
gemini-3.1-pro-preview,100,7,1
gemini-2.5-flash,100,7,0
gemini-3.1-pro-preview,100,8,1
gemini-2.5-flash,100,8,1
gemini-3.1-pro-preview,100,9,1
gemini-2.5-flash,100,9,0
gemini-3.1-pro-preview,100,10,1
gemini-2.5-flash,100,10,0
gemini-3.1-pro-preview,100,11,1
gemini-2.5-flash,100,11,0
gemini-3.1-pro-preview,100,12,1
gemini-2.5-flash,100,12,0
gemini-3.1-pro-preview,100,13,1
gemini-2.5-flash,100,13,0
gemini-3.1-pro-preview,100,14,1
gemini-2.5-flash,100,14,0
gemini-3.1-pro-preview,100,15,1
gemini-2.5-flash,100,15,0
gemini-3.1-pro-preview,100,16,1
gemini-2.5-flash,100,16,0
gemini-3.1-pro-preview,100,17,1
gemini-2.5-flash,100,17,0
gemini-3.1-pro-preview,100,18,1
gemini-2.5-flash,100,18,0
gemini-3.1-pro-preview,100,19,1
gemini-2.5-flash,100,19,0
gemini-3.1-pro-preview,100,20,1
gemini-2.5-flash,100,20,0
gemini-3.1-pro-preview,100,21,1
gemini-2.5-flash,100,21,0
gemini-3.1-pro-preview,100,22,1
gemini-2.5-flash,100,22,0
gemini-3.1-pro-preview,100,23,1
gemini-2.5-flash,100,23,0
gemini-3.1-pro-preview,100,24,1
gemini-2.5-flash,100,24,0
gemini-3.1-pro-preview,100,25,1
gemini-2.5-flash,100,25,0
gemini-3.1-pro-preview,100,26,1
gemini-2.5-flash,100,26,0
gemini-3.1-pro-preview,100,27,1
gemini-2.5-flash,100,27,0
gemini-3.1-pro-preview,100,28,1
gemini-2.5-flash,100,28,1
gemini-3.1-pro-preview,100,29,1
gemini-2.5-flash,100,29,0
gemini-3.1-pro-preview,100,30,1
gemini-2.5-flash,100,30,0
